description,calories,protein,carbs,fat
"Candies, SPECIAL DARK Chocolate Bar",556.0,5.54,60.5,32.4
"Dark chocolate candy, other, NFS",550.0,5.09,59.97,32.2
"Doughnut, chocolate, with chocolate icing",413.0,5.42,51.01,22.72
Chocolate dip,393.0,3.33,65.31,13.22
"Waffle, chocolate",437.0,9.07,48.64,22.7
"Croissant, chocolate",421.0,7.4,49.4,22.79
"Pancakes, chocolate",341.0,7.68,41.18,15.94
"Cream, whipped",346.0,1.9,9.49,33.45
"Frozen coffee drink, with whipped cream",83.0,1.58,12.89,2.77
Ice cream cake,283.0,2.95,39.28,12.67
Ice cream sandwich,990.0,4.29,37.1,8.57
"Ice cream, chocolate",216.0,3.8,28.2,11.0
"Ice cream, fried",282.0,3.94,32.77,15.16
"Ice cream, NFS",221.0,3.57,26.36,11.3
Frozen yogurt sandwich,204.0,3.9,34.38,6.25
"Frozen yogurt, chocolate",131.0,3.0,21.6,3.6
"Frozen yogurt, NFS",127.0,3.0,21.6,3.6
"Frozen yogurt, vanilla",127.0,3.0,21.6,3.6
"Frozen yogurts, chocolate",547.0,3.0,21.6,3.6
"Nutritional drink or shake, high protein, ready-to-drink, NFS",61.0,6.59,0.85,3.38
"Nutritional drink or shake, high protein, light, ready-to-drink, NFS",138.0,5.38,17.29,5.38
"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast)",61.0,6.59,0.85,3.38
Milk shake with malt,125.0,3.76,13.64,6.11
Vegetable smoothie,89.0,2.75,5.84,6.63
"Fruit smoothie, light",53.0,2.61,9.71,0.61
"Fruit smoothie, bottled",50.0,0.48,11.66,0.27
"Fruit smoothie, NFS",66.0,2.32,11.98,1.1
"Fruit and vegetable smoothie, bottled",53.0,0.6,12.53,0.26
"Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise",247.0,1.78,13.57,20.68
"Fruit salad, including citrus fruits, with salad dressing or mayonnaise",240.0,1.87,13.02,20.26
"Fruit salad, excluding citrus fruits, with marshmallows",251.0,1.78,17.54,19.48
"Fruit salad, excluding citrus fruits, with pudding",137.0,1.86,18.11,6.48
"Fruit salad, including citrus fruits, with marshmallows",244.0,1.87,16.95,19.1
Cheese ball,441.0,17.89,4.84,38.88
"Ladoo, round ball",411.0,6.92,46.74,22.25
"Melon balls, frozen",33.0,0.84,7.94,0.25
"Soup, Matzo ball",73.0,3.09,10.68,1.96
"Cookie, rum ball, no bake",514.0,5.37,63.78,26.22
"Yogurt parfait, with fruit",104.0,5.25,16.08,2.18
"McDONALD'S, Fruit 'n Yogurt Parfait",439.0,2.73,20.7,1.3
"Yogurt parfait, lowfat, with fruit and granola",84.0,3.36,15.9,1.01
"McDONALD'S, Fruit 'n Yogurt Parfait (without granola)",90.0,2.47,17.7,1.13
Banana pudding,160.0,2.57,28.0,4.26
"Pudding, bread",156.0,5.6,23.53,4.86
"Pudding, rice",108.0,3.23,18.39,2.15
Noodle pudding,209.0,5.94,31.02,7.4
Sorbet,110.0,0.79,27.12,0.05
"Light ice cream, vanilla",174.0,4.38,25.44,6.14
Freezer pop,79.0,0.0,19.23,0.24
Frozen fruit juice bar,106.0,0.81,25.4,0.06
"Frozen fruit juice bar, no sugar added",30.0,0.12,7.35,0.01
"Gelato, chocolate",251.0,4.72,19.78,16.98
"Gelato, vanilla",249.0,3.5,22.29,16.2
"Pudding, chocolate, NFS",142.0,2.09,23.01,4.6
"Cookie, butterscotch, brownie",405.0,4.8,63.9,16.3
"Cookie, brownie, without icing",405.0,4.8,63.9,16.3
"Cookie, brownie, with icing or filling",401.0,2.94,63.55,16.95
"Cookie, brownie, NS as to icing",405.0,4.8,63.9,16.3
"Cookies, brownies, commercially prepared",405.0,4.8,63.9,16.3
"Cookie, biscotti",373.0,7.63,66.99,8.38
"Cookie, rugelach",348.0,3.7,70.9,7.3
"Cookie, molasses",430.0,5.6,73.8,12.8
"Cookie, shortbread",514.0,5.37,63.78,26.22
"Muffin, fruit",375.0,4.49,53.0,16.07
"Muffin, cheese",367.0,9.72,30.51,23.0
"Muffin, chocolate",395.0,6.54,50.94,18.75
"Cake, fruit cake",324.0,2.9,61.6,9.1
Popcorn cake,384.0,9.7,80.1,3.1
"Cake, cream",286.0,3.84,30.02,17.03
Bean cake,414.0,5.8,49.88,21.41
